Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y,intent,tone,resolution,predicted_intent,predicted_tone,predicted_resolution,score
24310,68365,,support.eu@aspiegel.com,huawei music problems and suggestions,huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,,Others,,,Problem/Fault,Coupon/Gifts/Points Issues,Refund,0.0
24075,67730,,support.pt@aspiegel.com,Appgallery problems and suggestions,Description update SST does not install contact information DESCRIPTION UPDATE Cannot Be installed contact information description update cannot be installed contact information description update cannot be installed contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Can't update Apps,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,Others,Third Party APPs,Can't install Apps,0.0
24075,67762,,support.pt@aspiegel.com,APPGALLERY Problems and suggestions APPGALLERY Problems and Suggestions,"Thanks after reinstalling the app, everything works perfectly MfG wrote on the DO Dear customer, thank you for making contact with Aspiegel.Make a screenshot your cell phone model SN number of your ger ts version of the app gallery huawei app gallery me about hms core version huawei app gallery hms core settings about related app version of the related app The protocol of the app gallery if you have further questions please answer this email and we will be happy to help you with friendly great SE UMA empresa constituSegundo as leis da com Sede em Dublin Appgallery Problems and suggestive description update not install contact information",AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Can't update Apps,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,Others,AppGallery-Install/Upgrade,Offers / Vouchers / Promotions,0.0
23748,66706,,support.pt@aspiegel.com,appgallery problems and suggestions,description contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Others,Suggestion,AppGallery-Use,Others,Problem/Fault,VIP / Offers / Promotions,Other download/install/update issue,0.0
23740,66684,,support.eu@aspiegel.com,,I paid but application did not work I can be refunded thanks I have paid but the application did not work can be refunded,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Refund,Problem/Fault,Third Party APPs,Refund,Others,Coupon/Gifts/Points Issues,Offers / Vouchers / Promotions,0.0
23683,66429,,support.eu@aspiegel.com,,product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright aspiegel se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Offers / Vouchers / Promotions,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,Others,Coupon/Gifts/Points Issues,Cooperated campaign issue,0.0
23683,67433,,support.eu@aspiegel.com,,so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Offers / Vouchers / Promotions,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,Problem/Fault,VIP / Offers / Promotions,Can't use or acquire,0.0
23683,67516,,support.eu@aspiegel.com,,"Have to an account there is DON Speak German Escreveu No Dia Quinta Dear Toned Customer We recommend that you have to contact Discord directly from your computer or if you prefer to edit the case, please give us the following information your service.If applicable if you have any further questions, please answer this email and we will be happy to help you with your doubts so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store but now Now is part of other company called and what my huawei d service countryThanks in Advance Ter de Set de Escreveu We Hope You Re Doing Well This Email is Regarding Your Concern About Worry Will Do My Best To Solve Your Problem as Son As Possible In Order To Analyze Your Case In Detail Need The Follow Information from You Error Screenshot The Champagne You Have Attendedyour huawei id service Country we would greatly appreciate your feedback regarding Our email Exchange as we need your input to keep improving our service Therefore we invite you to fill in the survey that will want to the email address you used to contact us have anyFurther Questions please feel free to reply to this email thread and we will be happy to walk you through your Doubts Sincerely Silvia","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Offers / Vouchers / Promotions,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,Problem/Fault,General,Can't install Apps,0.0
23683,67915,,support.eu@aspiegel.com,,sure the country of my app gallery and my country is portugal can enter on discord sorry don understand it qui de set de escreveu this email is regarding your concern about voucher we recommend that you contact us through the discord channel https discord gg tkyzc cagu directly from your computer if you are having difficulty using discord or if you prefer us to handle the case please provide us with the following information for further investigation your country of service appgallery me settings country your discord contact information if applicable if you have any further questions please reply to this mail and we will be happy to help you with your doubts sincerely andrea have to an account there also don speak german escreveu no dia quinta sehr geehrter kunde wir empfehlen ihnen uns ber den discord kanal https discord gg tkyzc cagu direkt von ihrem computer aus zu kontaktieren haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen r weitere untersuchungen ihr dienstland appgallery ich einstellungen land ihre discord kontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen mail und wir helfen ihnen gerne bei ihren zweifeln weiter andrea,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Offers / Vouchers / Promotions,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,Problem/Fault,VIP / Offers / Promotions,Refund,0.0
23624,66266,,support.pt@aspiegel.com,gamecentre problems and suggestions,description no moontoon contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,,,Can't download Apps,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,0.6666666666666666
